id	comentario	supermercado	fecha
4	HOY ME SENTI DISCRIMINADO..MAL ATENDIDO TIENDA ARA CALLE 80 BOYACA..TE MIRAN RARO EXTRAÑO..POR QUE NO PONEN..REJAS Y ATIENDEN MEJOR SOLO LLEVE TAPABOCAS..ME DA TRISTEZA..UNO NO TIENE LA CULPA BUEM SURTIDO MAL ATENCION..	Ara	1/04/2020
4	Dentro de las medidas esta la discriminacion al personal de la salud? Porque sus empleados porteros para ser exactos no dejan si quiera averiguar por precio de productos a personas que nisiquiera han llegado a su punto de trabajo... esto me parece una falta de respeto!!	Ara	1/04/2020
4	Ósea que entre esos protocolos los médicos y enfermeras no pueden entrar en con sus uniformes ? O según ustedes si entran así no cumplen los protocolos	Ara	1/04/2020
4	Gracias ARA	Ara	1/04/2020
4	Creo que no están siendo realistas como dicen algunos comentarios las tiendas se la pasan cerradas o desabastecidas hace unos días mi cuñado fue a la tienda y el vigilante no lo dejo entrar porque no tenía mascarilla puesta cuando el ministerio a sido enfático en los usos de esta que NO es para todo el mundo por múltiples razones que creo que ya todos sabemos... más coherencia!	Ara	1/04/2020
4	Cuando llega la leche y los huevos para las tiendas en Barranquilla	Ara	1/04/2020
4	Deberían tener en cuenta lo que sucedió con el médico aquí en Barranquilla	Ara	1/04/2020
4	Que va! Aquí en Santa Marta esa gente que surte las góndolas no tiene ni tapabocas! Se la pasan por los pasillos hechando chisme de a cuatro y cinco! El velador colabora más y tiene un tapabocas que se rompe con mirarlo! Cuáles son las medidas de higiene 	Ara	1/04/2020
4	Excelentes medidas!!!! 	Ara	1/04/2020
4	De razón los aras que hay en toda la carrera 13 están cerradas desde hace mas de una semana...	Ara	1/04/2020
4	Hoy estaban cerrados todos los Aras en Montería.	Ara	1/04/2020
4	Y cuales son las medidas de ustedes ????	Ara	1/04/2020
5	A qué hora abren las tiendas en Santa Marta?	Ara	6/04/2020
5	Bueno...pero porfavor...suministrenle a sus empleados tapabocas y guantes... cuidenlos...gracias 	Ara	6/04/2020
5	Excelente así es	Ara	6/04/2020
5	Hola a que horas abren?? Para el horario de personas mayores.	Ara	6/04/2020
5	Excelente 	Ara	6/04/2020
5	Graciassss 	Ara	6/04/2020
5	Buenas tardes como me puedo comunicar para saber si el ara de Arjona Bolívar tiene pico y cédula?	Ara	6/04/2020
5	Buenas tardes sres de ara espero respondan mi inquietud. Es cierto q no se puede ingresar a sus tiendas sin tapabocas aunque estés bien de salud o ya colocaron esa norma en su empresa y porque no han colocado un anuncio oficial?	Ara	6/04/2020
5	La tienda de yumbo esta cerrada????	Ara	6/04/2020
5	Quiero saber porque no han vuelto a surtir de arena sanitaria para gatos en la sede de la calle 22 con carrera 8 centro de Bogotá?	Ara	6/04/2020
5	Quiero hablar con ustedes.. ..de hacer apoyo social con sus productos ademad porque el concepto de Ara me gusta	Ara	6/04/2020
5	Y en las ciudades con pico y cédula qué 	Ara	6/04/2020
5	Pueden decir en qué horario cierran para hacer el aseo? Porque muchos no estamos cerca entonces ir y que esté cerrado o tener que esperar ... 	Ara	6/04/2020
5	Es hora de que implementen los domicilios así evitan las aglomeraciones afuera de las tiendas. Yo no he podido volver a comprarles y estoy comprando en D1 y justo y bueno ellos tienen domicilio	Ara	6/04/2020
5	Habiliten servicio a domicilio es momento de reinventarse	Ara	6/04/2020
5	Buenos días el ara de San Salvador en q horarios hacen la limpieza	Ara	6/04/2020
5	Cuál es el horario para adultos mayores porque siempre que voy veo que no hay control en la entrada.	Ara	6/04/2020
5	Deberían de publicar el horario de atención y no tener así vecino esperando con u sol casi dos horas por ahora por qué ustedes cierra a el medio dia además con tiene un decreto que cambio el día en el que debe comprar por qué no lo publican x este medio y el vigilante que tiene muy grosero el que está por las moras	Ara	6/04/2020
5	El día de hoy fui a tienda Ara a realizar mis compras y ninguno de los trabajadores están usando tapabocas ni guantes lo que me parece una irresponsabilidad si uno de sus trabajadores llegase a estar enfermo contamina los alimentos que allí compramos esto me sucedió en Dosquebradas el que está frente a Makro	Ara	6/04/2020
5	Pues lo de dos metros tiene que controlarse mas con otro guarda por que yo noc que le pasa a la gente por lo menos yo guardaba mi distancia pero entonces fuera de la fila por que se pegaban mucho como que pensaban que por estar separados les iban a quitar el puesto vean eso porfavor	Ara	6/04/2020
5	Tienen domicilios en Mosquera cundinamarca	Ara	6/04/2020
5	Buenas tardes quiero saber si hacen domicilio estoy interesada en una batidora	Ara	6/04/2020
6	todos los supermercados deberían unirse y apoyar a las autoridades para que se cumplan las órdenes. Como? No permitir el acceso a personas sin tapabocas- No permitir que las personas estén en fila a menos de 1 metro atender a las personas según el día y el género. Y no solo pensar en la parte económica VENDER!!. Todos queremos que esto termine pronto pero no colaboramos!!	Ara	11/04/2020
6	Dónde se lleva la hoja de vida?? Gracias por comunicarte con nosotros. Para aplicar en nuestras convocatorias laborales debes ingresar aquí http://trabajaconara.co/ y registrarte. Te recordamos que no disponemos un lugar físico para recibir hojas de vida o de un correo electrónico y solo las que lleguen por medio de la página serán tenidas en cuenta. ¡Éxitos en tu proceso!	Ara	11/04/2020
6	El pesimista ve dificultad en toda oportunidad. El optimista ve oportunidad en toda dificultad.	Ara	11/04/2020
6	Estos son los delitos por los que tendrá que responder si discrimina al personal médico https://t.co/5Xratx3jrM. Al igual que tú nos preocupamos porque TIendas Ara sea un lugar para todos sin ninguna distinción.Siempre hemos trabajado para que asi seasin embargoen este trabajo diario y ante esta conyuctura tenemos aun grandes oportunidades para ser mejores cada dia. Podemos cometer algunas falencias por lo que nos esforzamos para superarlas y seguir con nuestro compromiso de ser el vecino aliado de todos los colombianos. Comprendemos la molestia por la situación que se presentó al ingreso a nuestra tienda y nos disculpamos. Tenemos protocolos estrictos de aseo e higiene en tiendas y estamos cumpliendo con todas las medidas decretadadas por el Gobierno Nacional y las autoridades locales y en ningún caso se impide el ingreso.	Ara	11/04/2020
6	Mentirosos... ustedes discriminan al personal de la salud no les permiten el ingreso a las tiendas ara... yo estaba presente dijeron q tenian un correo donde les daban la orden de no dejar entrar personal de salud me toco llamar a la policia para q dejaran entrar a mi compañera que falta de respeto hasta le hicieron quitar la ropa para dejarla entrar. MENTIROSOSSSS DISCRIMINADORES	Ara	11/04/2020
7	Yo tengo 3 tiendas cerca y la app no llega a mi casa!	Ara	15/04/2020
7	Y a Barranquilla?	Ara	15/04/2020
7	En Barranquilla pero que lleguen a la Pradera	Ara	15/04/2020
7	En Chinú Córdoba aplica??	Ara	15/04/2020
7	Hasta q hora atienden en las tiendas de cartagena ?	Ara	15/04/2020
7	Acá en Barranquilla aplica	Ara	15/04/2020
7	Es por numero de cedula para comprar en tienda ara?	Ara	15/04/2020
7	Y porque solo Bogotá y Barranquilla que?	Ara	15/04/2020
7	Barranquillla	Ara	15/04/2020
7	cuando llegan a Cartagena con esa aplicación??	Ara	15/04/2020
7	Holaaaa buenos días. Para cuando llegan los tv de nuevo al ara? Esos de 699?	Ara	15/04/2020
7	Mosquera cundinamarca también necesita ese servicio	Ara	15/04/2020
